tt0106062|||tvSeries|||Matrix|||Matrix|||0|||1993|||1993|||60|||"Action,Drama,Fantasy"
tt0109151|||video|||Armitage III: Polymatrix|||Armitage III: Poly Matrix|||0|||1996|||\N|||90|||"Action,Animation,Drama"
tt0133093|||movie|||The Matrix|||The Matrix|||0|||1999|||\N|||136|||"Action,Sci-Fi"
tt0211096|||video|||V-World Matrix|||V-World Matrix|||0|||1999|||\N|||78|||"Fantasy,Horror,Sci-Fi"
tt0224086|||movie|||Sex Files: Sexual Matrix|||Sex Files: Sexual Matrix|||1|||2000|||\N|||80|||Drama
tt0234215|||movie|||The Matrix Reloaded|||The Matrix Reloaded|||0|||2003|||\N|||138|||"Action,Sci-Fi"
tt0242653|||movie|||The Matrix Revolutions|||The Matrix Revolutions|||0|||2003|||\N|||129|||"Action,Sci-Fi"
tt0273126|||video|||Blue Matrix|||Blue Matrix|||1|||2000|||\N|||101|||"Adult,Fantasy,Sci-Fi"
tt0274085|||tvShort|||Sex and the Matrix|||Sex and the Matrix|||0|||2000|||\N|||6|||"Comedy,Short"
tt0277732|||videoGame|||Heavy Metal: Geomatrix|||Heavy Metal: Geomatrix|||0|||2001|||\N|||\N|||"Action,Adventure,Fantasy"
tt0277828|||videoGame|||Enter the Matrix|||Enter the Matrix|||0|||2003|||\N|||\N|||"Action,Adventure,Sci-Fi"
tt0295432|||video|||The Matrix Revisited|||The Matrix Revisited|||0|||2001|||\N|||123|||Documentary
tt0303678|||video|||Armitage III: Dual Matrix|||Armitage: Dual Matrix|||0|||2002|||\N|||90|||"Animation,Drama,Sci-Fi"
tt0328832|||video|||The Animatrix|||The Animatrix|||0|||2003|||\N|||100|||"Action,Adventure,Animation"
tt0333846|||short|||M.A.N.: Matrix Adjusted Normal|||M.A.N.: Matrix Adjusted Normal|||0|||1992|||\N|||\N|||"Sci-Fi,Short"
tt0364888|||tvSeries|||Threat Matrix|||Threat Matrix|||0|||2003|||2004|||60|||"Drama,Mystery,Thriller"
tt0365467|||tvMovie|||Making 'The Matrix'|||Making 'The Matrix'|||0|||1999|||\N|||26|||"Documentary,Sci-Fi"
tt0389150|||tvMovie|||The Matrix Defence|||The Matrix Defence|||0|||2003|||\N|||\N|||Documentary
tt0390244|||videoGame|||The Matrix Online|||The Matrix Online|||0|||2005|||\N|||\N|||"Action,Adventure,Family"
tt0391319|||video|||Making 'Enter the Matrix'|||Making 'Enter the Matrix'|||0|||2003|||\N|||28|||"Documentary,Short"
tt0395147|||video|||The Fanimatrix: Run Program|||The Fanimatrix: Run Program|||0|||2003|||\N|||16|||"Action,Sci-Fi,Short"
tt0410519|||video|||The Matrix Recalibrated|||The Matrix Recalibrated|||0|||2004|||\N|||27|||"Documentary,Short"
tt0422730|||video|||The Matrixxx: A Muscle Explosion|||The Matrixxx: A Muscle Explosion|||1|||2004|||\N|||121|||Adult
tt0438231|||tvMovie|||The Matrix: The Movie Special|||The Matrix: The Movie Special|||0|||1999|||\N|||30|||Action
tt0439783|||video|||Return to Source: Philosophy & The Matrix|||Return to Source: Philosophy & The Matrix|||0|||2004|||\N|||61|||Documentary
tt0440615|||video|||Matrix Nudes|||Matrix Nudes|||1|||2004|||\N|||\N|||Adult
tt0440616|||video|||Matrix Pornstars|||Matrix Pornstars|||1|||2004|||\N|||\N|||Adult
tt0451118|||videoGame|||The Matrix: Path of Neo|||The Matrix: Path of Neo|||0|||2005|||\N|||\N|||"Action,Adventure,Family"
tt0463597|||video|||Matrix Nudes 2|||Matrix Nudes 2|||1|||2005|||\N|||\N|||Adult
tt0493776|||video|||Matrix Nudes 3|||Matrix Nudes 3|||1|||2005|||\N|||\N|||Adult
tt0594932|||tvEpisode|||The Matrix Revolutions|||The Matrix Revolutions|||0|||2003|||\N|||\N|||"Documentary,Short"
tt0594933|||tvEpisode|||The Making of 'The Matrix'|||The Making of 'The Matrix'|||0|||1999|||\N|||26|||"Documentary,Short"
tt0675499|||tvEpisode|||Fistful of Matrix|||Fistful of Matrix|||0|||2003|||\N|||\N|||\N
tt0701636|||tvEpisode|||The Matrix/10 Things I Hate About You/Cookie's Fortune/The Out-of-Towners/The Dreamlife of Angels|||The Matrix/10 Things I Hate About You/Cookie's Fortune/The Out-of-Towners/The Dreamlife of Angels|||0|||1999|||\N|||\N|||Talk-Show
tt0709003|||tvEpisode|||Unimatrix Zero|||Unimatrix Zero|||0|||2000|||\N|||44|||"Action,Adventure,Sci-Fi"
tt0709004|||tvEpisode|||Unimatrix Zero Part II|||Unimatrix Zero Part II|||0|||2000|||\N|||44|||"Action,Adventure,Sci-Fi"
tt0782645|||tvEpisode|||Toyota Matrix: Engine & Exhaust Upgrade|||Toyota Matrix: Engine & Exhaust Upgrade|||0|||\N|||\N|||\N|||Talk-Show
tt0808030|||tvSeries|||Cinematrix|||Cinematrix|||0|||2002|||2004|||30|||Talk-Show
tt0932302|||tvEpisode|||Amish Matrix|||Amish Matrix|||0|||2001|||\N|||\N|||Comedy
tt0970173|||movie|||Buhera mátrix|||Buhera mátrix|||0|||2007|||\N|||80|||Comedy